ADCY1	857	30	134	1330	380	2006
ADCY10	?	?	?	20	8	17
ADCY10P1	414	9	71	526	177	542
ADCY2	45	2	1	48	8	84
ADCY3	5470	169	653	4200	1335	7031
ADCY4	?	?	?	?	?	24
ADCY5	45	2	4	25	18	59
ADCY6	4478	169	629	3621	1079	5583
ADCY7	5007	144	535	3713	1245	5834
ADCY8	13	2	2	18	12	29
ADCY9	2408	74	341	1507	469	2342
ADCYAP1	?	?	?	?	?	2
ADCYAP1R1	27	3	2	24	11	18
ADD1	9756	328	1132	10104	3091	15186
ADD2	1373	44	194	1005	363	1582
ADD3	5686	152	586	3608	1128	4912
ADH1B	?	?	?	?	?	2
ADH1C	?	?	?	10	2	9
ADH4	42	2	55	14	55
ADH5	9463	254	901	9529	3096	14032
ADH6	?	?	?	4	3	8
ADH7	?	?	?	?	?	2
ADHFE1	157	4	20	85	38	175
ADI1	4700	137	519	2924	904	4525
ADIG	?	?	?	?	?	2
ADIPOQ	570	22	107	743	296	1086
ADIPOQ-AS1	145	3	19	165	47	271
ADIPOR1	5308	171	610	5235	1583	7095
ADIPOR2	8525	211	870	7206	2256	10210
ADIRF	325	16	48	145	44	302
ADK	5860	188	688	5558	1917	8040
ADM	4046	86	483	3896	1301	6952
ADM2	490	23	63	628	195	950
ADM5	50	4	7	49	13	102
ADNP	9628	276	936	9564	3116	12505
ADNP2	4813	135	433	4804	1595	7187
ADO	1750	42	168	2227	731	3371
ADORA1	197	4	37	161	89	353
ADORA2A	124	3	26	151	35	220
ADORA2A-AS1	423	13	52	537	140	796
ADORA2B	3068	90	297	2551	773	3784
ADPGK	6343	147	618	5002	1683	6658
ADPGK-AS1	124	3	19	116	32	156
ADPRH	296	5	32	202	64	301
ADPRHL1	77	4	10	46	20	84
ADPRHL2	1703	31	207	1737	585	2771
ADPRM	270	4	38	300	105	404
ADRA1A	1436	56	240	1876	598	2788
ADRA1B	121	2	13	40	10	70
ADRA1D	32	2	5	125	23	102
ADRA2A	268	2	29	140	46	178
ADRA2B	?	?	?	8	2	4
ADRB1	17	2	6	15	7	36
ADRB2	1298	35	120	1023	372	1618
ADRBK1	2269	68	345	2063	560	3755
ADRBK2	3203	120	387	2970	845	4450
ADRM1	2854	120	472	3057	964	5668
ADSL	8338	236	775	7941	2588	11382
ADSS	4690	126	506	4905	1578	7370
ADSSL1	84	6	26	76	29	135
ADTRP	28	2	6	259	79	355
AEBP1	29	2	57	20	60
AEBP2	2499	71	244	2437	726	3853
AEN	2371	72	249	3419	1118	5813
AES	5316	155	647	4000	1119	6389
AFAP1	7297	209	866	7258	2406	11820
AFAP1-AS1	911	29	124	921	315	1360
AFAP1L1	2470	90	270	2100	692	3098
AFAP1L2	1047	20	140	613	194	978
AFF1	6006	171	641	5871	1852	8758
AFF2	?	?	?	?	?	6
AFF3	1024	38	133	1416	449	2084
AFF4	22906	598	2185	25023	7746	33711
AFG3L1P	1504	61	210	1425	411	2228
AFG3L2	8884	209	876	8797	2933	12172
AFM	?	?	?	?	?	2
AFMID	1319	47	186	1479	482	2123
AFP	27	3	6	17	5	30
AFTPH	2719	55	263	2583	830	3446
AGA	1745	40	131	1076	346	1569
AGAP1	2473	69	315	2788	901	4329
AGAP11	837	15	91	742	178	896
AGAP2	501	17	61	170	65	328
AGAP3	1232	56	224	1239	319	2169
AGAP4	2393	54	262	2659	653	3239
AGAP5	2184	32	216	2335	629	2849
AGAP6	2611	61	300	3011	707	3476
AGAP7	1726	33	236	1989	500	2373
AGAP8	2658	57	278	3126	823	3722
AGAP9	4907	120	572	5830	1436	6887
AGBL1	?	?	?	1	4	6
AGBL2	278	4	17	282	79	378
AGBL3	73	3	7	36	20	69
AGBL4	14	2	3	12	1	8
AGBL5	3876	101	396	3340	1087	5140
AGER	360	10	79	261	114	464
AGFG1	10033	248	866	10301	3207	14803
AGFG2	825	18	105	555	191	979
AGGF1	4886	139	527	5075	1619	7116
AGK	4135	125	386	3449	1130	4571
AGL	5504	131	520	3400	1151	5097
AGMAT	3235	125	371	3862	1326	5849
AGMO	179	13	32	317	81	332
AGO1	6617	245	641	4682	1610	6550
AGO2	3383	79	469	4792	1520	7041
AGO3	2725	56	277	3182	1057	4384
AGO4	2426	60	272	3724	1312	5364
AGPAT1	3885	144	449	2875	921	4568
AGPAT2	680	21	122	529	171	1144
AGPAT3	4377	141	525	3442	1018	5565
AGPAT4	3283	83	352	2377	808	3530
AGPAT4-IT1	320	17	61	362	108	516
AGPAT5	5436	119	469	4970	1665	7042
AGPAT6	6131	166	586	6077	1952	8424
AGPAT9	985	24	92	1785	659	2509
AGPHD1	212	2	20	132	64	126
AGPS	10162	267	866	10085	3034	14811
AGR2	?	?	?	5	1	4
AGRN	7853	305	1579	5819	2069	13247
AGRP	15	5	9	2	21
AGSK1	6482	295	1060	5256	1146	8374
AGT	?	?	?	?	?	12
AGTPBP1	3860	90	421	2021	732	2879
AGTR1	67	16	67	12	108
AGTRAP	742	15	113	627	212	1165
AGXT2	?	?	?	?	?	6
AGXT2L2	1495	49	165	972	355	1613
AHCTF1	19121	478	1656	16656	5572	22132
AHCTF1P1	3	2	6	2	6
AHCY	9668	371	1206	6894	2201	10889
AHCYL1	10453	331	1019	9205	3003	12902
AHCYL2	1774	52	139	1407	465	1951
AHDC1	617	7	90	424	137	809
AHI1	3561	107	397	3173	1010	4371
AHNAK	379348	10721	34993	203525	62303	243450
AHNAK2	3964	104	474	4073	1415	6545
AHR	9200	242	896	8617	2552	12596
AHRR	2556	91	361	2086	634	3534
AHSA1	9331	280	947	12084	4013	16567
AHSA2	3195	80	388	2970	1078	4798
AHSG	?	?	?	?	?	4
AICDA	897	46	152	1284	434	1866
AIDA	4314	140	451	3816	1349	6008
AIF1	?	?	?	2	3	6
AIF1L	765	26	77	306	104	463
AIFM1	3972	155	407	3481	1176	4904
AIFM2	1139	39	151	1068	311	1853
AIFM3	69	8	15	6	27
AIG1	1685	36	166	780	315	1269
AIM1	11195	292	994	7965	2498	11242
AIM1L	64	10	39	15	89
